snapshot_at,product,contract_id,delivery_year_month,first_available_bar,last_available_bar,status,raw_payload_path,bars
2026-08-10T11:19:48+08:00,rb,rb2608,2026-08,,,failed,raw/kline_rb2608.json,
2026-08-10T11:19:48+08:00,rb,rb2609,2026-09,2025-09-15T21:00:00,2026-08-10T11:00:00,ok,raw/kline_rb2609.json,1498
2026-08-10T11:19:48+08:00,rb,rb2610,2026-10,2025-10-15T21:00:00,2026-08-10T11:00:00,ok,raw/kline_rb2610.json,1388
2026-08-10T11:19:48+08:00,rb,rb2611,2026-11,2025-11-17T21:00:00,2026-08-10T11:00:00,ok,raw/kline_rb2611.json,1218
2026-08-10T11:19:48+08:00,rb,rb2612,2026-12,2025-12-16T09:00:00,2026-08-10T11:00:00,ok,raw/kline_rb2612.json,1074
2026-08-10T11:19:48+08:00,rb,rb2701,2027-01,2026-01-15T21:00:00,2026-08-10T11:00:00,ok,raw/kline_rb2701.json,942
2026-08-10T11:19:48+08:00,rb,rb2702,2027-02,2026-02-24T22:00:00,2026-08-10T11:00:00,ok,raw/kline_rb2702.json,769
2026-08-10T11:19:48+08:00,rb,rb2703,2027-03,2026-03-16T21:00:00,2026-08-10T11:00:00,ok,raw/kline_rb2703.json,683
2026-08-10T11:19:48+08:00,rb,rb2704,2027-04,2026-04-15T21:00:00,2026-08-10T11:00:00,ok,raw/kline_rb2704.json,540
2026-08-10T11:19:48+08:00,i,i2608,2026-08,,,failed,raw/kline_i2608.json,
2026-08-10T11:19:48+08:00,i,i2609,2026-09,2025-09-12T21:00:00,2026-08-10T11:00:00,ok,raw/kline_i2609.json,1505
2026-08-10T11:19:48+08:00,i,i2610,2026-10,2025-10-22T21:00:00,2026-08-10T11:00:00,ok,raw/kline_i2610.json,1353
2026-08-10T11:19:48+08:00,i,i2611,2026-11,2025-11-14T21:00:00,2026-08-10T11:00:00,ok,raw/kline_i2611.json,1234
2026-08-10T11:19:48+08:00,i,i2612,2026-12,2025-12-12T21:00:00,2026-08-10T11:00:00,ok,raw/kline_i2612.json,1094
2026-08-10T11:19:48+08:00,i,i2701,2027-01,2026-01-16T21:00:00,2026-08-10T11:00:00,ok,raw/kline_i2701.json,935
2026-08-10T11:19:48+08:00,i,i2702,2027-02,2026-02-24T09:00:00,2026-08-10T11:00:00,ok,raw/kline_i2702.json,795
2026-08-10T11:19:48+08:00,i,i2703,2027-03,2026-03-13T21:00:00,2026-08-10T11:00:00,ok,raw/kline_i2703.json,699
2026-08-10T11:19:48+08:00,i,i2704,2027-04,2026-04-15T21:00:00,2026-08-10T11:00:00,ok,raw/kline_i2704.json,547
2026-08-10T11:19:48+08:00,jm,jm2608,2026-08,2025-08-14T22:00:00,2026-08-10T11:00:00,ok,raw/kline_jm2608.json,1648
2026-08-10T11:19:48+08:00,jm,jm2609,2026-09,2025-09-12T21:00:00,2026-08-10T11:00:00,ok,raw/kline_jm2609.json,1505
2026-08-10T11:19:48+08:00,jm,jm2610,2026-10,2025-10-23T09:00:00,2026-08-10T11:00:00,ok,raw/kline_jm2610.json,1349
2026-08-10T11:19:48+08:00,jm,jm2611,2026-11,2025-11-14T21:00:00,2026-08-10T11:00:00,ok,raw/kline_jm2611.json,1233
2026-08-10T11:19:48+08:00,jm,jm2612,2026-12,2025-12-12T22:00:00,2026-08-10T11:00:00,ok,raw/kline_jm2612.json,1088
2026-08-10T11:19:48+08:00,jm,jm2701,2027-01,2026-01-16T21:00:00,2026-08-10T11:00:00,ok,raw/kline_jm2701.json,935
2026-08-10T11:19:48+08:00,jm,jm2702,2027-02,2026-02-24T09:00:00,2026-08-10T11:00:00,ok,raw/kline_jm2702.json,787
2026-08-10T11:19:48+08:00,jm,jm2703,2027-03,2026-03-16T09:00:00,2026-08-10T11:00:00,ok,raw/kline_jm2703.json,687
2026-08-10T11:19:48+08:00,jm,jm2704,2027-04,2026-04-16T21:00:00,2026-08-10T11:00:00,ok,raw/kline_jm2704.json,533
2026-08-10T11:19:48+08:00,j,j2608,2026-08,,,failed,raw/kline_j2608.json,
2026-08-10T11:19:48+08:00,j,j2609,2026-09,2025-09-12T22:00:00,2026-08-10T11:00:00,ok,raw/kline_j2609.json,1492
2026-08-10T11:19:48+08:00,j,j2610,2026-10,2025-10-24T13:00:00,2026-08-10T11:00:00,ok,raw/kline_j2610.json,737
2026-08-10T11:19:48+08:00,j,j2611,2026-11,2025-11-27T21:00:00,2026-08-10T11:00:00,ok,raw/kline_j2611.json,507
2026-08-10T11:19:48+08:00,j,j2612,2026-12,2025-12-29T22:00:00,2026-08-10T11:00:00,ok,raw/kline_j2612.json,542
2026-08-10T11:19:48+08:00,j,j2701,2027-01,2026-01-16T22:00:00,2026-08-10T11:00:00,ok,raw/kline_j2701.json,930
2026-08-10T11:19:48+08:00,j,j2702,2027-02,2026-02-24T09:00:00,2026-08-10T11:00:00,ok,raw/kline_j2702.json,329
2026-08-10T11:19:48+08:00,j,j2703,2027-03,2026-03-18T09:00:00,2026-08-10T11:00:00,ok,raw/kline_j2703.json,213
2026-08-10T11:19:48+08:00,j,j2704,2027-04,,,failed,raw/kline_j2704.json,
